Serial_No,GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research
351,318,107,3,3.0,3.5,8.27,1
352,325,110,4,3.5,4.0,8.67,1
353,303,100,2,3.0,3.5,8.06,1
354,300,102,3,3.5,2.5,8.17,0
355,297,98,2,2.5,3.0,7.67,0
356,317,106,2,2.0,3.5,8.12,0
357,327,109,3,3.5,4.0,8.77,1
358,301,104,2,3.5,3.5,7.89,1
359,314,105,2,2.5,2.0,7.64,0
360,321,107,2,2.0,1.5,8.44,0
361,322,110,3,4.0,5.0,8.64,1
362,334,116,4,4.0,3.5,9.54,1
363,338,115,5,4.5,5.0,9.23,1
364,306,103,2,2.5,3.0,8.36,0
365,313,102,3,3.5,4.0,8.9,1
366,330,114,4,4.5,3.0,9.17,1
367,320,104,3,3.5,4.5,8.34,1
368,311,98,1,1.0,2.5,7.46,0
369,298,92,1,2.0,2.0,7.88,0
370,301,98,1,2.0,3.0,8.03,1
371,310,103,2,2.5,2.5,8.24,0
372,324,110,3,3.5,3.0,9.22,1
373,336,119,4,4.5,4.0,9.62,1
374,321,109,3,3.0,3.0,8.54,1
375,315,105,2,2.0,2.5,7.65,0
376,304,101,2,2.0,2.5,7.66,0
377,297,96,2,2.5,2.0,7.43,0
378,290,100,1,1.5,2.0,7.56,0
379,303,98,1,2.0,2.5,7.65,0
380,311,99,1,2.5,3.0,8.43,1
381,322,104,3,3.5,4.0,8.84,1
382,319,105,3,3.0,3.5,8.67,1
383,324,110,4,4.5,4.0,9.15,1
384,300,100,3,3.0,3.5,8.26,0
385,340,113,4,5.0,5.0,9.74,1
386,335,117,5,5.0,5.0,9.82,1
387,302,101,2,2.5,3.5,7.96,0
388,307,105,2,2.0,3.5,8.1,0
389,296,97,2,1.5,2.0,7.8,0
390,320,108,3,3.5,4.0,8.44,1
391,314,102,2,2.0,2.5,8.24,0
392,318,106,3,2.0,3.0,8.65,0
393,326,112,4,4.0,3.5,9.12,1
394,317,104,2,3.0,3.0,8.76,0
395,329,111,4,4.5,4.0,9.23,1
396,324,110,3,3.5,3.5,9.04,1
397,325,107,3,3.0,3.5,9.11,1
398,330,116,4,5.0,4.5,9.45,1
399,312,103,3,3.5,4.0,8.78,0
400,333,117,4,5.0,4.0,9.66,1
